"P<sub>res</sub>, <span units="pressure"><span unitfor="PvtCalculatorForm[pressure]">atm</span></span>","T<sub>res</sub>, <span units="temperature"><span unitfor="PvtCalculatorForm[temperature]">C</span></span>","R<sub>s</sub>, <span units="Rs"><span unitfor="PvtCalculatorForm[Rs]">m<sup>3</sup>/m<sup>3</sup></span></span>","ρ<sub>oil</sub>, <span units="density"><span unitfor="PvtCalculatorForm[density]">kg/m<sup>3</sup></span></span>","B<sub>oil</sub>, <span units="fvf"><span unitfor="PvtCalculatorForm[fvf]">m<sup>3</sup>/m<sup>3</sup></span></span>","μ<sub>oil</sub>, <span units="viscosity"><span unitfor="PvtCalculatorForm[viscosity]">cP</span></span>","C<sub>oil</sub>, <span units="compressibility"><span unitfor="PvtCalculatorForm[compressibility]">atm<sup>-1</sup></span></span>","σ<sub>oil</sub>, <span units="tension"><span unitfor="PvtCalculatorForm[tension]">dyn/cm</span></span>"
"1","20","0.028","826.5","1.004","19.1","0","26.6"
"1","60","0.013","795","1.044","2.64","0.0067","25.3"
"2","60","2.03","793.1","1.049","2.46","0.0049","24.6"
"3","60","4.06","791.1","1.053","2.29","0.0032","23.9"
"4","60","5.7","789.6","1.057","2.16","0.0022","23.4"
"5","60","6.98","788.4","1.06","2.08","0.0018","23"
"6","60","8.26","787.2","1.063","2","0.0015","22.5"
"7","60","9.36","786.2","1.065","1.94","0.0014","22.2"
"8","60","10.5","785.2","1.068","1.88","0.0012","21.9"
"9","60","11.5","784.3","1.07","1.83","0.0011","21.5"
"10","60","12.5","783.4","1.072","1.79","0.001","21.3"
"11","60","13.5","782.5","1.074","1.74","0.001","21"
"12","60","14.4","781.7","1.076","1.71","0.0009","20.7"
"13","60","15.3","780.9","1.078","1.67","0.0008","20.5"
"14","60","16.2","780.1","1.08","1.64","0.0008","20.2"
"15","60","17.1","779.3","1.082","1.61","0.0008","20"
"16","60","18","778.6","1.084","1.58","0.0007","19.8"
"17","60","18.8","777.9","1.086","1.55","0.0007","19.6"
"18","60","19.6","777.2","1.088","1.53","0.0007","19.4"
"19","60","20.5","776.5","1.09","1.5","0.0007","19.2"
"20","60","21.3","775.8","1.092","1.48","0.0006","19"
"21","60","22.1","775.1","1.093","1.46","0.0006","18.8"
"22","60","22.8","774.5","1.095","1.44","0.0006","18.6"
"23","60","23.6","773.8","1.097","1.42","0.0006","18.4"
"24","60","24.4","773.2","1.099","1.4","0.0006","18.2"
"25","60","25.1","772.6","1.1","1.38","0.0005","18.1"
"26","60","25.9","771.9","1.102","1.36","0.0005","17.9"
"27","60","26.6","771.3","1.103","1.35","0.0005","17.7"
"28","60","27.3","770.7","1.105","1.33","0.0005","17.6"
"29","60","28","770.1","1.107","1.32","0.0005","17.4"
"30","60","28.8","769.6","1.108","1.3","0.0005","17.3"
"31","60","29.5","769","1.11","1.29","0.0005","17.1"
"32","60","30.2","768.4","1.111","1.27","0.0005","17"
"33","60","30.9","767.9","1.113","1.26","0.0005","16.8"
"34","60","31.5","767.3","1.114","1.25","0.0005","16.7"
"35","60","32.2","766.8","1.116","1.24","0.0004","16.5"
"36","60","32.9","766.2","1.117","1.22","0.0004","16.4"
"37","60","33.6","765.7","1.119","1.21","0.0004","16.3"
"38","60","34.3","765.1","1.12","1.2","0.0004","16.1"
"39","60","34.9","764.6","1.122","1.19","0.0004","16"
"40","60","35.6","764.1","1.123","1.18","0.0004","15.9"
"41","60","36.2","763.6","1.125","1.17","0.0004","15.7"
"42","60","36.9","763.1","1.126","1.16","0.0004","15.6"
"43","60","37.6","762.5","1.128","1.15","0.0004","15.5"
"44","60","38.2","762","1.129","1.14","0.0004","15.3"
"45","60","38.8","761.5","1.13","1.13","0.0004","15.2"
"46","60","39.5","761","1.132","1.12","0.0004","15.1"
"47","60","40.1","760.6","1.133","1.11","0.0004","15"
"48","60","40.8","760.1","1.135","1.1","0.0004","14.9"
"49","60","41.4","759.6","1.136","1.09","0.0004","14.7"
"50","60","42","759.1","1.137","1.09","0.0004","14.6"
